"","class","gender","age","school","father_edu_background","mother_edu_background","father_job","mother_job","household_income","school_has_library","library_visit","access_to_computer_lab","extra_mural_class","extra_curricular_activities","extra_curricular_participation","hours_on_curricular_activities","english_score","maths_score","hours_spent_studying","difficulty_understand_maths_eng_sci","subject_found_most_difficult","confidence_in_passing_exam","prepare_exam_with_online_resources","challenge_preparing_for_exam","result"
"1","SS3","Male","15-17","Public","Secondary","No formal education","Tailoring","Teacher","₦100,000 – ₦300,000","Yes","Monthly","Yes","Yes","Yes","Debate/Quiz clubs","4–6 hours","70 - 75","60 - 64","5 hours or more","Yes","Physics/Chemistry/Biology","Somewhat confident","Yes","Lack of focus","Yes"
"2","SS1","Female","18 and above","Public","University","No formal education","Civil servant","Trader","₦100,000 – ₦300,000","No","Never","Yes","Yes","Yes","Science/Math clubs","1–3 hours","40 - 44","60 - 64","1–2 hours","No","Physics/Chemistry/Biology","Not confident","No","lack of standard social amenity","Yes"
"3","SS1","Male","12-14","Public","University","No formal education","Farmer","Teacher","₦100,000 – ₦300,000","Yes","Rarely","Yes","Yes","No","Debate/Quiz clubs","None","45 - 49","80 - 100","1–2 hours","Yes","English Language","Not confident","No","Lack of proper preparation","Yes"
"4","SS3","Male","15-17","Private","Secondary","Secondary","Civil Servant","Teacher","Below ₦30,000","No","Monthly","Yes","Yes","Yes","Science/Math clubs","4–6 hours","55 - 59","45 - 49","3–4 hours","No","English Language","Somewhat confident","Yes","Lack of proper preparation","Yes"
"5","SS1","Male","18 and above","Public","University","University","Tailoring","Trader","Below ₦30,000","Yes","Weekly","No","Yes","No","Science/Math clubs","4–6 hours","60 - 64","50 - 54","5 hours or more","No","English Language","Very confident","Yes","Lack of focus","Yes"
"6","SS3","Female","15-17","Public","Secondary","Secondary","Farmer","House Wife","₦30,000 – ₦100,000","Yes","Daily","Yes","No","No","Science/Math clubs","1–3 hours","45 - 49","39 below","1–2 hours","No","Physics/Chemistry/Biology","Not confident","No","lack of standard social amenity","No"
"7","SS3","Male","15-17","Private","Primary","Primary","Tailoring","Trader","50,000 - 100,000","Yes","Never","No","No","Yes","Science/Math clubs","None","45 - 49","70 - 75","5 hours or more","Yes","Mathematics","Not confident","No","The fear of the unknown","Yes"
"8","SS3","Male","12-14","Private","No formal education","Secondary","Farmer","Teacher","Below ₦30,000","No","Never","Yes","Yes","No","None","7 hours or more","55 - 59","39 below","Less than 1 hour","Yes","Mathematics","Somewhat confident","Yes","Lack of focus","Yes"
"9","SS3","Male","12-14","Private","Primary","Secondary","Civil Servant","Trader","50,000 - 100,000","Yes","Daily","No","Yes","Yes","Sports","None","40 - 44","40 - 44","Less than 1 hour","Yes","Mathematics","Very confident","No","Lack of focus","No"
"10","SS2","Male","12-14","Private","Primary","Secondary","Civil Servant","Housewife","Above ₦300,000","Yes","Never","No","No","Yes","None","7 hours or more","60 - 64","55 - 59","3–4 hours","No","English Language","Very confident","Yes","Lack of focus","Yes"
"11","SS2","Male","12-14","Private","Secondary","University","Tailoring","Housewife","50,000 - 100,000","No","Weekly","No","Yes","Yes","Debate/Quiz clubs","1–3 hours","80 - 100","50 - 54","1–2 hours","No","English Language","Very confident","Yes","lack of standard social amenity","Yes"
"12","SS3","Male","12-14","Private","Secondary","Primary","Civil servant","Trader","₦30,000 – ₦100,000","Yes","Rarely","No","Yes","No","Debate/Quiz clubs","None","70 - 75","65 - 69","5 hours or more","No","Other","Not confident","No","Lack of proper preparation","Yes"
"13","SS1","Female","12-14","Public","Secondary","No formal education","Tailoring","Housewife","₦100,000 – ₦300,000","Yes","Monthly","No","Yes","Yes","Debate/Quiz clubs","4–6 hours","50 - 54","70 - 75","1–2 hours","Yes","Other","Very confident","Yes","Lack of funds","Yes"
"14","SS3","Male","15-17","Public","No formal education","Primary","Engineer","Housewife","Below ₦30,000","Yes","Monthly","Yes","Yes","No","None","7 hours or more","80 - 100","70 - 75","1–2 hours","No","Physics/Chemistry/Biology","Somewhat confident","No","time management","Yes"
"15","SS2","Female","15-17","Public","University","University","Civil Servant","Housewife","Below ₦30,000","Yes","Weekly","Yes","Yes","Yes","Sports","7 hours or more","65 - 69","80 - 100","Less than 1 hour","Yes","Other","Not confident","Yes","Lack of proper preparation","Yes"
